"scenario","delta1","delta2","seed","method","silhouette","ari","alpha","omega","r"
"S1",1,1,25,"Df_silopt",0.346913996413601,0.847452805622843,1,NA,NA
"S1",1,1,25,"Ds",0.159527822069048,0.440685290192726,NA,NA,NA
"S1",1,1,25,"A",0.173115803500528,0.778595207607445,NA,NA,NA
"S1",1,1,25,"B_silopt",0.346913996413602,0.847452805622843,1,1,NA
"S1",1,1,25,"C_DK_ancien",0.179025809666852,0.960546760342641,1,NA,NA
"S1",1,1,25,"DK_reconstruit",0.163752187282581,0.931513876240992,NA,NA,6.82987303628507
"S1",1,1,26,"D0",0.296391848156775,0.941408080808081,NA,NA,NA
"S1",1,1,26,"D1",0.356289899764176,0.931406239664532,NA,NA,NA
"S1",1,1,26,"Df_silopt",0.356289899764176,0.931406239664532,1,NA,NA
"S1",1,1,26,"Ds",0.135018466079968,0.420941335937954,NA,NA,NA
"S1",1,1,26,"A",0.166638835050872,0.883476482596931,NA,NA,NA
"S1",1,1,26,"B_silopt",0.356289899764176,0.931406239664532,1,1,NA
"S1",1,1,26,"C_DK_ancien",0.182872441611767,0.989983166952885,1,NA,NA
"S1",1,1,26,"DK_reconstruit",0.152904955852896,0.813239084153201,NA,NA,6.60317390305536
"S1",1,1,27,"D0",0.284422050776439,0.842749543918462,NA,NA,NA
"S1",1,1,27,"D1",0.34447212365576,0.92208408721023,NA,NA,NA
"S1",1,1,27,"Df_silopt",0.34447212365576,0.92208408721023,1,NA,NA
"S1",1,1,27,"Ds",0.150675443750823,0.590691034000123,NA,NA,NA
"S1",1,1,27,"A",0.161824116803036,0.691054345798703,NA,NA,NA
"S1",1,1,27,"B_silopt",0.34447212365576,0.92208408721023,1,1,NA
"S1",1,1,27,"C_DK_ancien",0.173309058360311,0.930708749143164,1,NA,NA
"S1",1,1,27,"DK_reconstruit",0.151359270989789,0.818615505872983,NA,NA,6.81989901871972
"S1",1,1,28,"D0",0.292186839476194,0.856177855783323,NA,NA,NA
"S1",1,1,28,"D1",0.352594974334279,0.876199266555704,NA,NA,NA
"S1",1,1,28,"Df_silopt",0.352594974334279,0.876199266555704,1,NA,NA
"S1",1,1,28,"Ds",0.153955031689396,0.61235644308992,NA,NA,NA
"S1",1,1,28,"A",0.16760858056066,0.757644384961936,NA,NA,NA
"S1",1,1,28,"B_silopt",0.352594974334279,0.876199266555704,1,1,NA
"S1",1,1,28,"C_DK_ancien",0.173109554719584,0.922147623010766,1,NA,NA
"S1",1,1,28,"DK_reconstruit",0.158599031380768,0.912495723328421,NA,NA,6.76489698435945
"S1",1,1,29,"D0",0.288330157576321,0.784610360243823,NA,NA,NA
"S1",1,1,29,"D1",0.346751297924002,0.842085783228352,NA,NA,NA
"S1",1,1,29,"Df_silopt",0.346751297924002,0.842085783228352,1,NA,NA
"S1",1,1,29,"Ds",0.155651077852572,0.60466557131748,NA,NA,NA
"S1",1,1,29,"A",0.176566465632831,0.843405187891586,NA,NA,NA
"S1",1,1,29,"B_silopt",0.346751297924002,0.842085783228352,1,1,NA
"S1",1,1,29,"C_DK_ancien",0.180708190825821,0.950922551653583,1,NA,NA
"S1",1,1,29,"DK_reconstruit",0.170461624229253,0.931996274137426,NA,NA,7.03980850275174
